AI&H,Assistance to Individuals and Households
AIMS,1) Arson Information Management System
AIMS,2) Automated Inventory Management System
AIP,1) Agreement In Principle
AIP,2) Airport Improvement Program
AIR,Applied Insurance Research
AIREP,Aircraft Report
AIS,Automated Information Systems (obsolete; see AIC)
AIT,Aeromedical Isolation Team
AKDT,Alaska Daylight Time  (GMT - 8)
AKST,Alaska Standard Time  (GMT - 9)
AL,Applicant Liaison
ALC,1) Agency Location Code
ALC,2) Agency Logistics Center
ALCC,1) Airlift Control Center
ALCC,2) Airlift Coordination Cell
ALCE,Airlift Control Element
ALCOM,Alaskan Command
ALE,1) Additional Living Expenses
ALE,2) Automatic Link Establishment
ALERT,Automated Local Evaluation in Real Time
ALOHA,Aerial Locations Of Hazardous Atmospheres
ALS,Advanced Life Support
ALSM,Airborne Laser Swath Mapping (aka LIDAR)
ALTRETCO,Alternate Regional Emergency Transportation Coordinator
AM,1) Ante Meridiem
AM,2) Amplitude Modulation
AMBUS,Ambulance Bus
AMC,1) Air Mobility Command
AMC,2) Army Materiel Command
AMPS,Automated Message Processing System
AMS,1) Aerial Measuring System 
AMS,2) American Meteorological Society
AMSC,American Satellite Communications
AMSLAN,American Sign Language
AMT,Amount
AN,1) Above Normal
AN,2) Alert and Notification
ANECC,Alternate National Emergency Coordination Center (obsolete; see FAOC)
ANFO,Ammonium Nitrate and Fuel Oil
ANG,Air National Guard
ANGB,Air National Guard Base
ANI,American Nuclear Insurers
ANOC,Association of National Olympic Committees
ANPR,Advance Notice of Proposed Rulemaking
ANPSC,Alternate National Processing Service Center (located at Mt Weather)
ANRC,American National Red Cross
ANS,Alert and Notification System
AO,1) Action Officer
AO,2) Administrative Officer
AO,3) Assistance Officer
AO,4) Area of Operations
AoA,Administration on Aging
AOC,1) Army Operations Center
AOC,2) Area of Concern
AOC,3) Aircraft Operating Center (NOAA)
AOIC,Acting Official in Charge
AOR,Area of Responsibility
AP,1) Assembly Point
AP,2) Alternate Power
AP,3) Associated Press
AP,4) Aerial Port
APA,Administrative Procedure Act
APE,Area of Potential Effect
APHA,American Public Health Association
APHIS,Animal and Plant Health Inspection Service
APHL,Association of Public Health Laboratories
API,Application Programming Interface
APIC,Association for Professionals in Infection Control and Epidemiology
APIS,Administrative and Program Information System
APO,Accountable Property Officer
APOD,Aerial Port of Debarkation
APOE,Aerial Port of Embarkation
APP,Application or Applicant
Apps,Applications
APR,Agency Procurement Review
APSRS,Aerial Photography Summary Record System
APSS,Automated Personnel Security System
APWA,American Public Works Association
AR,1) Aerial Reconnaissance
AR,2) Acknowledge Receipt
AR,3) Army Regulation
ARAA,Advanced Radiological Accident Assessment
ARAC,Atmospheric Release Advisory Capability
ARC,American Red Cross
ARCA,Area Requiring Corrective Action
ARCHIE,Automated Resource for Chemical Hazard Incident Evaluation
ARES,Amateur Radio Emergency Services
ARF,1) Action Request Form
ARF,2) Aviation Route Forecast
ARFI,Areas Recommended For Improvement
ARG,Accident Response Group
ARI,Acute Respiratory Infection(s)
ARIP,Accidental Release Information Program
ARL,1) Activities Result List
ARL,2) Airborne Reconnaissance Low 
ARL-M,Airborne Reconnaissance Low - Multifunction
ARNG,Army National Guard
ARNGOPS,Army National Guard Operations
A-ROC,Alternate Regional Operations Center
ARP,Administration and Resource Planning (Directorate)
ARPANET,Advanced Research Projects Agency Network
ARRAS,Automatic Residential Remote Alarm System
ARRL,American Radio Relay League
ARS,1) Agriculture Research Service
ARS,2) Automatic Route Selection
ARSOF,Army Special Operations Forces
ART,Awards Review Team
ARTS,Audit Report Tracking System
ARWO,Aerial Reconnaissance Weather Office
AS,Applicant Services
ASAP,1) As Soon As Possible
ASAP,2) All-Hazards Situation Assessment Prototype
ASC,Advanced Systems Center
ASCE,American Society of Civil Engineers
ASCII,American Standard Code for Information Interchange
ASCS,Agricultural Stabilization and Conservation Services
ASD,1) Assistant Secretary of Defense
ASD,2) Allowable Stress Design
ASDAR,Aircraft-to-Satellite Data Relay
ASDSO,Association of State Dam Safety Officials
ASFPM,Association of State Floodplain Managers
ASH,Assistant Secretary for Health
ASL,1) Above Sea Level
ASL,2) American Sign Language
ASLB,Atomic Safety Licensing Board
ASMRO,Armed Services Medical Regulating Office
ASOS,Automated Surface Observing System
ASP,Active Server Page(s)
ASPE,American Society of Professional Estimators
ASPRS,American Society for Photogrammetry and Remote Sensing
ASR,Aquifer Storage Recovery
ASSET,Advanced Simulation and Software Engineering Technology
ASST,Assistant
AST,Aboveground Storage Tank
ASTHO,Association of State and Territorial Health Offices
ASTM,American Society for Testing and Materials
ASTS,Aeromedical Staging Squadron
ATA,Actual Time of Arrival
ATC,1) Air Traffic Control
ATC,2) Applied Technology Council
ATD,Actual Time of Departure
ATDP,Annual Training and Development Plan
ATDT,Atlantic Daylight Time  (GMT - 3)
ATF,Bureau of Alcohol, Tobacco, and Firearms
ATH,Air-Transportable Hospital
ATM,1) Automated Teller Machine
ATM,2) Asynchronous Transfer Mode
ATMWU,Air Transportable Mobile Weather Unit
ATO,Air Tasking Order
ATR,Advanced Thermal Reactor
ATRAP,Air Transportable RADIAC Package
ATSA,Aviation and Transportation Security Act
ATSDR,Agency for Toxic Substance and Disease Registry
ATRAP,Air Transportable RADIAC Package
ATST,Atlantic Standard Time  (GMT - 4)
ATTN,Attention
ATV,All-Terrain Vehicle
ATWC,Alaska Tsunami Warning Center (obsolete; see WCATWC)
AUTODIN,Automatic Digital Network
AUTOVON,Automatic Voice Network (obsolete; see DSN)
AV,1) Audio-Visual
AV,2) Air Vehicle
AVC,Alaska Volcano Center
AVHRR,Advanced Very High Resolution Radiometer
AVIP,Anthrax Vaccine Immunization Program
AVLIS,Atomic Vapor Laser Isotope Separation
AVO,Alaska Volcano Observatory
AWD,Available Without Declaration
AWIPS,Advanced Weather Interactive Processing System
AWIS,Automated Weather Information System
AWOL,Absent Without Leave
AWRA,American Water Resources Association
AWS,Alternate Work Schedule
BAA,Broad Area Announcement
BAER,Burned Area Emergency Rehabilitation
BALV,Best Available Lodging Value
BAREPP,Bay Area Regional Earthquake Preparedness Project
BATF,Bureau of Alcohol, Tobacco, and Firearms
BBRS,Board of Building Regulations and Standards
BBS,Bulletin Board System
BC,1) Base Camp
BC,2) Branch Chief
B/C,Benefit/Cost
BCF,Billion Cubic Feet
BCMC,Board for the Coordination of Model Codes
BCR,Benefit-Cost Ratio
BDA,Battle Damage Assessment
BDE,Brigade
BDRP,Biological Defense Research Program
BEEF,Big Explosive Experimental Facility
BENS,Business Executives for National Security
BENT SPEAR,Nuclear Incident
BEP,Budget Execution Plan
BFC,Bills For Collection
BFD,Base Flood Depth
BFE,Base Flood Elevation
BI,Background Investigation
BIA,Bureau of Indian Affairs
BIDS,Biological Integrated Detection System
BIFC,Boise Interagency Fire Center (obsolete, see NIFC)
BIIDB,Badge Imaging Information Database
BIT,1) Building Inventory Tool
BIT,2) Built-In Test
BL,Bill of Lading
BLEVE,Boiling Liquid Expanding Vapor Explosion
BLM,Bureau of Land Management
BLS,Basic Life Support
BMC,Bomb Management Center
BMP,Best Management Practice(s)
BN,Battalion
B-NICE,Biological, Nuclear, Incendiary, Chemical, or Explosive
BOC,Basic Operating Cost
BOCA,Building Officials and Code Administrators
BOM,Bill of Materials
BoO,Base of Operations
BOR,Bureau of Reclamation
BORP,Building Occupancy Resumption Program
BPA,Blanket Purchasing Agreement
BPAT,Building Performance Assessment Team
BPD,Blast-Protective Design
BPM,Basic Property Management
BPO,Blanket Purchase Order
BPR,Business Process Reengineering
BPRP,Bioterrorism Preparedness and Response Program (CDC)
BPS,Bits Per Second
Bq,Becquerel (symbol for radiation)
BRM,Bioregulator/Modulator
BROKEN ARROW,Nuclear Accident (codeword) 
BSA,Base Support Area
BSI,Base Support Installation
BSPP,Broadcast Station Protection Program
BSSC,Building Seismic Safety Council
BST,Burn Specialty Team
BTS,Budget Tracking System
BTU,British Thermal Unit
BW,Biological Warfare
BWR,Boiling Water Reactor
BY,Budget Year
C2,Command and Control
C3,Command, Control, and Communications
C4,Command, Control, Communications, and Computers
CA,1) Bromobenzylcyanide (symbol for)
CA,2) Civil Affairs
CA,3) Congressional Affairs
CA,4) Cooperating Agency
CA,5) Cooperative Agreement
CAA,Clean Air Act
CAAP,Critical Asset Assurance Program
CABIN,Chemical and Biological Information Network
CAC,1) Civil Applications Committee
CAC,2) Climate Analysis Center (NWS)
CAC,3) Community Assistance Contact
CACTIS,Computer-Assisted CSEPP Training Information System
CAD,Computer-Assisted Design
CADET,Computer-Assisted Design for Exercise Training
CADW,Civil Air Defense Warning
CAER,Community Awareness and Emergency Response
CAG,Core Agency Group
CAI,1) Chemical Accident/Incident
CAI,2) Computer-Aided Instruction
CAIRA,Chemical Accident/Incident Response and Assistance
CALM,Cognitive and Affective Learning Model
CAM,Chemical Agent Monitor
CAMEO,Computer-Aided Management of Emergency Operations
CANDU,Canadian-Deuterium Uranium (Reactor)
CAO,Caribbean Area Office
CAP,1) Civil Air Patrol
CAP,2) Collection, Analysis and Planning
CAP,3) Community Action Program
CAP,4) Community Assistance Program 
CAP,5) Corrective Action Program
CAPC,Civil Aviation Planning Committee
CAP-FASSE,Corrective Action Program - Federal Agency Support Services Element
CAPSS,Corrective Action Program Support System (obsolete)
CAP-SSSE,Corrective Action Program - State Support Services Element
CAR,1) Capability Assessment for Readiness 
CAR,2) Congressional Affairs Representative
CARCAH,Chief, Aerial Reconnaissance Coordination -All Hurricanes
CARD,Collaborative Agencies for Responding to Disasters
CARDA,Continental Airborne Reconnaissance for Damage Assessment
CARL,Computerized Activities Results List
CART,1) Computer Analysis and Response Team
CART,2) County Animal Response Team
CAS,1) Chemical Abstract Service
CAS,2) Crisis Action System
CASE,Computer-Aided Software Engineering
CASU,Centralized Administrative Services Unit
CAT,1) Catastrophic 
CAT,2) Category
CAT,3) Crisis Action Team
CATEGORY A,Debris Removal (PA)
CATEGORY B,Emergency Protective Measures (PA)
CATEGORY C,Roads and Bridges (PA)
CATEGORY D,Water Control Facilities (PA)
CATEGORY E,Buildings and Contents (PA)
CATEGORY F,Utilities (PA)
CATEGORY G,Parks, Recreational, and Other (PA)
CATEX,Categorical Exclusion
CATL,Chronology and Time Line
CATS,Consequences Assessment Tool Set
CATV,Cable Television
CAV,Community Assistance Visit
CB,1) Chemical Biological
CB,2) Citizens’ Band
CB,3) Cluster Bomb
CBA,Contractors and Builders Association
CBDCOM,Chemical Biological Defense Command 
CBEK,Compendium of Basic Exercise Knowledge
CBI,1) Chandler Burning Index
CBI,2) Computer-Based Instruction
CBIA,Coastal Barrier Improvement Act
CBIRF,Chemical-Biological Incident Response Force
CBL,1) Commercial Bill of Lading 
CBL,2) Computer-Based Learning
CBO,1) Congressional Budget Office
CBO,2) Community Based Organization
CBQRF,Chemical-Biological Quick Response Force
CBR,Chemical, Biological, and/or Radiological
CBRA,Coastal Barrier Resources Act (also see COBRA)
CBRD,Chemical, Biological and Radiological Defense
CBRN,Chemical, Biological, Radiological or Nuclear
CBRNE,Chemical, Biological, Radiological, Nuclear, or High-Yield Explosive
CBRNE-CM,Chemical, Biological, Radiological, Nuclear, or High-Yield Explosive - Consequence Management
CBRS,Coastal Barrier Resources System
CBRT,Chemical-Biological Response Team
CBRRT,Chemical & Biological Rapid Response Team
CBT,1) Chemical Biological Toxin 
CBT,2) Computer-Based Training
CC,1) Citizen Corps
CC,2) Coordination Center
CC,3) Courtesy Copy 
CC,4) Crisis Counseling
C&C,Components and Cladding
CCA,Comprehensive Cooperative Agreement (obsolete; see CA)
CCB,Configuration Control Board
CCC,1) Commodity Credit Corporation
CCC,2) Crisis Coordination Center
CCF,Coded Cities Forecast
CCG,Crisis Coordination Group
CCL,Contamination Control Line
CCN,Canonical Correlation Analysis
CCND,Consultative Committee on Natural Disasters
CCO,1) Claims Coordinating Office
CCO,2) Consultation Coordination Officer
CCP,1) Casualty Collection Point
CCP,2) Crisis Counseling Program
CCST,Chemical Casualty Site Team
CCTV,Closed-Circuit Television
CD,1) Civil Defense
CD,2) Compact Disc
CDBG,Community Development Block Grant
CDC,Centers for Disease Control
CDCP,Center for Disease Control and Prevention
CDD,Cross-Disaster Database
CDERA,Caribbean Disaster Emergency Response Agency
CDEX,Civil Defense Exercise
CDL,Commercial Driver’s License
CDO,Central Dense Overcast
CDP,Center for Domestic Preparedness
CDR,1) Critical Design Review
CDR,2) Crude Death Rate
CDRDB,Conventional Disaster Resource Database
CDRG,Catastrophic Disaster Response Group
CDRG-PAC,Catastrophic Disaster Response Group - Primary Agency Committee
CD-ROM,Compact Disc - Read Only Memory
CDRS,Call Detail Reporting System
CDT,Central Daylight Time  (GMT - 5)
CDX,Control and Direction Exercise
CE,Civil Engineer
CEB,Contractor Evaluation Board
CEC,Chief Exercise Controller
CED,Committee for Economic Development
CEF,1) Critical Emergency File
CEF,2) Cost Estimating Format
CEI,Critical Elements of Information
CEM,Comprehensive Emergency Management
CEMA,Consumer Electronics Manufacturers Association
CEMD,County Emergency Management Director
CEMIS,Crisis and Emergency Management Information System
CEMO,Canada Emergency Measures Organization
CENR,Committee on Environment and Natural Resources
CEO,Chief Executive Officer
CEOS,Committee on Earth-Orbiting Satellites
CEP,1) Civil Emergency Preparedness
CEP,2) Civil Emergency Planning (NATO)
CEP,3) Circular Error Probable
CEPA,Canadian Emergency Preparedness Association
CEPPO,Chemical Emergency Preparedness and Prevention Office
CEQ,Council on Environmental Quality
CERC,Coastal Engineering Research Center (COE)
CERCLA,Comprehensive Environmental Response, Compensation, and Liability Act, a.k.a. “Superfund”
CERES,California Environmental Resources Evaluation System
CERT,1) Community Emergency Response Team
CERT,2) Computer Emergency Response Team
CEST,Cyber Emergency Support Team
CEXS,Cooperative Extension Service
CF,Californium (symbol for)
CFA,1) Cognizant Federal Agency
CFA,2) Computerized Fleet Analysis
CFAO,Cognizant Federal Agency Official
CFC,1) Chlorofluorocarbon
CFC,2) Combined Federal Campaign
CFDA,Catalog of Federal Domestic Assistance
CFGDP,Crash Feed Grain Donation Program
CFO,Chief Financial Officer
CFR,Code of Federal Regulations
CFS,Cubic Feet per Second
CFSA,Consolidated Farm Service Agency
CFSI,Congressional Fire Services Institute
CG,1) Coast Guard
CG,2) Commanding General
CG,3) Phosgene (symbol for)
CGD,Coast Guard District
CGEOC,Canadian Government Emergency Operations Center
CGFAA,Cerro Grande Fire Assistance Act
CGISS,Center for Geophysical Investigation of the Shallow Subsurface
CGM,Computer Graphics Metafile
CHARM,Complex Hazardous Release Model
CHEMTREC,Chemical Transportation Emergency Center
CHER-CAP,Comprehensive HAZMAT Emergency Response - Capability Assessment Program
CHG,Change
CHIP,Capability and Hazard Identification Program
CHRIS,Chemical Hazard Response Information System
CI,1) Critical Infrastructure
CI,2) Chlorine (symbol for)
CIA,Central Intelligence Agency
CIAD,Congressional and Intergovernmental Affairs Division
CIAO,Critical Infrastructure Assurance Officer
CIBADS,Canadian Integrated Biochemical Agent Detection System
CICAD,Center for Intelligence Collection and Distribution
CICG,Critical Infrastructure Coordination Group
CID,1) Community Identification
CID,2) Criminal Investigation Department
CIDA,Canadian International Development Agency
CIDCON,Civil Defense Condition
CIDER,Computer Interactive Display, Entry, and Retrieval
CIF,1) Cost, Insurance, and Freight
CIF,2) Central Information File
CIMA,Channel Industry Mutual Aid
CIMS,Correspondence and Issues Management System
CINC,Commander-In-Chief
CINCAMC,Commander-in-Chief, Air Mobility Command
CINCFOR,Commander-in-Chief, Forces Command
CINCLANT,Commander-in-Chief, Atlantic Command
CINCNORAD,Commander-in-Chief, North American Aerospace Defense Command
CINCPAC,Commander-in-Chief, Pacific Command
CINCSOC,Commander, Special Operations Command
CINCTRANS,Commander-in-Chief, Transportation Command
CINDI,Center for Integration of Natural Disaster Information
CIO,Chief Information Officer
CIP,Critical Infrastructure Protection
CIPB,Critical Infrastructure Protection Board
CIPIC,Critical Infrastructure Protection Information Center
CIPWG,Critical Infrastructure Protection Working Group
CIRG,Critical Incident Response Group
CIS,Community Information System
CISD,Critical Incident Stress Debriefing
CITAC,Computer Intrusion Threat Assessment Center
CITO,Central Imagery Tasking Office (NIMA)
CJCS,Chairman of the Joint Chiefs of Staff
CJIS,Criminal Justice Information System
CJTF,Commander, Joint Task Force
CK,Cyanogen chloride (symbol for)
CLO,Congressional Liaison Officer
CLOMA,Conditional Letter of Map Amendment
CLOMR-F,Conditional Letter of Map Revision Based on Fill
CLS,Central Locator System
Cm,Curium
CM,1) Countermeasure
CM,2) Chief of Mission
CM,3) Cadre Manager
CMA,Chemical Manufacturers Association
CMAT,Consequence Management Advisory Team
CMC,1) Crisis Management Center
CMC,2) Center for Marine Conservation
CMCAC,Crisis Management Center Augmentation Cadre
CMF,Case Management File
CMHS,Center for Mental Health Services
CML,Commercial
CMO,Civil Military Operations
CMOC,Civil Military Operations Center
CMT,Crisis Management Team
CMU,1) Crisis Management Unit
CMU,2) Concrete Masonry Unit
CMX,Crisis Management Exercise
CN,Chloroacetophenone (symbol for)
CNC,1) Central Network Control
CNC,2) Computer Numerical Control
CNN,Cable News Network
CNS,1) Corporation for National Service
CNS,2) Central Nervous System
CNWDI,Critical Nuclear Weapons Design Information
CO,1) Commanding Officer
CO,2) Communications Officer
CO,3) Contracting Officer
CO,4) Custodial Officer
COA,Course of Action
COAP,Center for Ocean Analysis and Prediction
COB,Close of Business
COBOL,Common Business-Oriented Language
COBRA,Coastal Barriers Resources Act
COC,Combat Operations Center
COCOM,Coordinating Committee
COD,Cash On Delivery
CODEL,Congressional Delegation
COE,(US Army) Corps of Engineers
COG,1) Continuity of Government
COG,2) Council of Governments
COL,1) Cost Of Living
COL,2) Colonel
COLA,Cost-of-Living Allowance
COLISEUM,Community On Line System for End Users and Managers
COLT,Cellular-On-Light-Truck
COMCDTF,Commander, Civil Disturbance Task Force
COMET,Cooperative Program for Operational Meteorology Education and Training
COMINT,Communications Intelligence
COMM,Communications
COMPUSEC,Computer Security
COMREL,Community Relations
COMSEC,Communications Security
CONOPS,Concept of Operations
CONPLAN,1) Concept of Operations Plan
CONPLAN,2) Contingency Plan
CONUS,Continental (or Contiguous) United States
CONUSA,Continental United States Army
COO,Chief Operating Officer
COOP,Continuity of Operations 
CORE,1) Cadre of On-call Response Employees
CORE,2) Citizens of Oakland Respond to Emergencies
CORS,Continuously Operating Reference Station
COS,1) Chief of Staff
COS,2) Cash On Shipment
COSIN,Control Staff Instruction
COTHEN,Customs Over-The-Horizon Enforcement Network
COTP,Captain of the Port
COTR,Contracting Officer’s Technical Representative
COTS,Commercial Off-The-Shelf
COW,Cellular-On-Wheels
CP,1) Command Post
CP,2) Coordination and Planning
CP,3) Control Point
CPAS,Cellular Priority Access System
CPAV,Community Program Assistance Visit
CPC,Climate Prediction Center
CPD,Community Planning and Development
CPE,Contingency Planning Exchange
CPG,Civil Preparedness Guide
CPHC,Central Pacific Hurricane Center
CPI,Consumer Price Index
CPO,Central Processing Office
CPPA,Certified Professional Property Administrator
CPPM,Certified Professional Property Manager
CPPS,Certified Professional Property Specialist
CPR,Cardiopulmonary Resuscitation
CPS,Certified Public Secretary
CPSC,Consumer Product Safety Commission
CPU,Central Processing Unit
CPX,Command Post Exercise
CR,1) Community Relations
CR,2) Congressional Relations
CR,3) Claims Representative
CR,4) County Road
CR,5) Contracting Representative
CR,6) Cost Reimbursement
CRAF,Civil Reserve Air Fleet
CRAMP,Coral Reef Assessment and Monitoring Program
CRC,1) Crisis Response Cell
CRC,2) Contamination Reduction Corridor
CRCPD,Conference of Radiation Control Program Directors
CREST,Contingency Real Estate Support Team
CREW,Cascadia Region Earthquake Workgroup
CRM,Crisis Resource Manager
CRO,Congressional Relations Officer
CROP,Common Relevant Operational Picture
CRP,1) Conservation Reserve Program
CRP,2) Critical Review Phase
CRREL,(US Army) Cold Region Research and Engineering Laboratory
CRS,1) Community Relations Service
CRS,2) Community Rating System
CRS,3) Congressional Research Service
CRS,4) Catholic Relief Services
CRT,Cathode Ray Tube
CRTF,Commander, Response Task Force
CRUD,Create, Retrieve, Update, Delete
CRWG,Crisis Response Working Group
CRYSYS,Cryospheric System
CRZ,Contamination Reduction Zone
Cs,Cesium (symbol for)
CS,1) Chief Scientist (NOAA) 
CS,2) Ortho-chlorobenzylidene-malononitrile (symbol for)
CSA,1) Community Services Administration
CSA,2) Chief of Staff, Army
CSAF,Chief of Staff, Air Force
CSBG,Community Services Block Grant
CSDGM,Content Standard for Digital Geospatial Metadata
CSDP,Chemical Stockpile Disposal Program
CSEM,Center for the Study of Emergency Management
CSEPP,Chemical Stockpile Emergency Preparedness Program
CSG,Counterterrorism Security Group
CSH,Combat Support Hospital
CSHIB,Chemical Safety and Hazards Investigation Board
CSIL,Commercial Satellite Imagery Library
CSMIP,California Strong-Motion Instrumentation Program
CSREES,Cooperative State Research Education and Extension Service
CST,1) Civil Support Team
CST,2) Central Standard Time
CSTE,Council of State and Territorial Epidemiologists
CSU,Clearing-Staging Unit
CTA,Combined Travel Authorization
CTBT,Comprehensive Nuclear Test Ban Treaty
CTC,1) Conference and Training Center
CTC,2) Counter-Terrorism Center
CTD,Cumulative Trauma Disorder
CTF,Combined Task Force
CTJTF,Counter-Terrorism Joint Task Foce
CTOEM,Connecticut Office of Emergency Management
CTP,Cooperating Technical Partner
CTS,Cooperating Technical State
CUREE,Consortium of Universities for Research in Earthquake Engineering
CUSEC,Central United States Earthquake Consortium
CUSP,Central United States Partnership
CV,Combined Verification
CVO,Cascades Volcano Observatory
CVP,Citizenship Verification Procedures
CVS,Combined Verification Section
CW,1) Continuous Wave
CW,2) Chemical Warfare
CWA,Clean Water Act
CWC,Chemical Weapons Convention
CWIN,Cybserspace Warning Intelligence Network
CWS,Check Writing System
CWU,Church World United
CX,Phosgene oxime (symbol for)
CY,1) Calendar Year
CY,2) Cubic Yard
CZM,Coastal Zone Management
CZMA,Coastal Zone Management Act
D/A,Departments and Agencies
DA,1) Damage Assessment
DA,2) Department of the Army
DA,3) District Attorney
DA,4) Declaration of Applicant
DA,5) Diphenylchlorooarsine (symbol for)
DAAC,Distributed Active Archive Center
DAC,1) Disaster Application Center
DAC,2) Direct Air Carrier 
DAD,Deputy Assistant Director
DAE,Disaster Assistance Employee
DAEO,Designated Agency Ethics Officer
DALIS,Disaster Assistance Logistics Information System
DALO,Disaster Area Liaison Officer
DAMAGES,Disaster Accountability Management System
DAP,Disaster Assistance Program(s)
DAR,Designated Agency Representative
DARIS,Disaster Automated Reporting and Information System
DARO,Defense Airborne Reconnaissance Office
DARPA,Defense Advanced Research Project Agency
DART,1) Disaster Assistance Response Team
DART,2) Damage Assessment Reconnaissance Team
DASC,Disaster Assistance Support Center
DASH,Deputy Assistant Secretary for Health
DASHO,Designated Agency Safety and Health Official
DASP,Disaster Assistance Support Program
DAST,Disaster Assessment Survey Team
DAT,Digital Audio Tape
DBA,Database Administrator
DBMS,Database Management System
DC,1) Direct Current
DC,2) District of Columbia
DC,3) Dislocated Civilians
DC,4) Diphenylcyanoarsine (symbol for)
DCA,Defense Communications Agency
DCAA,Defense Contract Audit Agency
DCAS,Document Control and Accountability System
DCC,1) Document Control Center
DCC,2) Donation Coordination Center
DCCC,Defense Collection Coordination Center
DCE,Defense Coordinating Element
DCI,Director of Central Intelligence
DCLO,Deputy Congressional Liaison Officer
DCM,Deputy Chief of Mission
DCO,Defense Coordinating Officer
DCP,Development Concept Plan
DCPS,Digital Cartographic Production System
